"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Dobong-gu","Housing units-Total[Housing]","Housing","102443","104170","104752","105526","106641","107156","107959",
"Dobong-gu","Detached dwelling[Housing]","Housing","9404","9237","9014","8903","8835","8634","8449",
"Dobong-gu","Apartment[Housing]","Housing","64082","64269","64352","64580","64955","65032","65305",
"Dobong-gu","Row house[Housing]","Housing","4242","4354","4235","4176","4131","4144","4201",
"Dobong-gu","Apartment unit ina private house[Housing]","Housing","24014","25607","26422","27138","27986","28620","29289",
"Dobong-gu","House within commercial building[Housing]","Housing","701","703","729","729","734","726","715",
"Dobong-gu","Living quaters other than housing unit[Housing]","Housing","2680","2774","3593","3625","3915","4127","4662",
"Nowon-gu","Total population[Person]","Person","562996","555420","543499","534096","522480","511982","503929",
"Nowon-gu","Male[Person]","Person","274128","270058","263655","258737","252662","246317","242171",
"Nowon-gu","Female[Person]","Person","288868","285362","279844","275359","269818","265665","261758",
"Nowon-gu","Korean - total[Person]","Person","558270","550729","538768","528268","516201","506237","498257",
"Nowon-gu","Korean - male[Person]","Person","271933","267903","261563","256124","249784","243759","239746",
"Nowon-gu","Korean - Female[Person]","Person","286337","282826","277205","272144","266417","262478","258511",
"Nowon-gu","Foreigner-Total[Person]","Person","4726","4691","4731","5828","6279","5745","5672",
"Nowon-gu","Foreigner-Male[Person]","Person","2195","2155","2092","2613","2878","2558","2425",
"Nowon-gu","Foreigner-Female[Person]","Person","2531","2536","2639","3215","3401","3187","3247",
"Nowon-gu","Household-Total[households]","households","206092","205793","204188","203647","202930","204210","205936",
"Nowon-gu","Type of occupancy[households]","households","204836","204606","202955","202326","201458","202695","204282",
"Nowon-gu","Institutional households[households]","households","94","87","124","111","103","86","105",
"Nowon-gu","Foreigner household[households]","households","1162","1100","1109","1210","1369","1429","1549",
"Nowon-gu","Housing units-Total[Housing]","Housing","186626","189013","187025","186533","187376","189213","190352",
"Nowon-gu","Detached dwelling[Housing]","Housing","8143","7990","7081","6783","6680","6619","6553",
"Nowon-gu","Apartment[Housing]","Housing","160725","162895","161701","161273","161873","163502","164583",
"Nowon-gu","Row house[Housing]","Housing","3536","3541","3508","3467","3440","3448","3444",
"Nowon-gu","Apartment unit ina private house[Housing]","Housing","13471","13887","14025","14312","14684","14948","15089",
"Nowon-gu","House within commercial building[Housing]","Housing","751","700","710","698","699","696","683",
"Nowon-gu","Living quaters other than housing unit[Housing]","Housing","2975","3100","3271","3339","3237","3261","3240",
"Eunpyeong-gu","Total population[Person]","Person","478374","472242","466243","462552","461530","463102","457385",
"Eunpyeong-gu","Male[Person]","Person","232709","229215","225813","223452","222076","221828","218155",
"Eunpyeong-gu","Female[Person]","Person","245665","243027","240430","239100","239454","241274","239230",
"Eunpyeong-gu","Korean - total[Person]","Person","472775","466813","460651","456582","455140","456902","451661",
"Eunpyeong-gu","Korean - male[Person]","Person","230226","226844","223388","220818","219283","219268","215799",
"Eunpyeong-gu","Korean - Female[Person]","Person","242549","239969","237263","235764","235857","237634","235862",
"Eunpyeong-gu","Foreigner-Total[Person]","Person","5599","5429","5592","5970","6390","6200","5724",
"Eunpyeong-gu","Foreigner-Male[Person]","Person","2483","2371","2425","2634","2793","2560","2356",
"Eunpyeong-gu","Foreigner-Female[Person]","Person","3116","3058","3167","3336","3597","3640","3368",
"Eunpyeong-gu","Household-Total[households]","households","181725","180698","181588","183289","186841","192581","195512",
"Eunpyeong-gu","Type of occupancy[households]","households","179752","178775","179641","181338","184890","190631","193626",
"Eunpyeong-gu","Institutional households[households]","households","84","57","73","84","82","77","93",
"Eunpyeong-gu","Foreigner household[households]","households","1889","1866","1874","1867","1869","1873","1793",
"Eunpyeong-gu","Housing units-Total[Housing]","Housing","140330","142135","143727","144611","148557","150658","156710",
"Eunpyeong-gu","Detached dwelling[Housing]","Housing","18582","17678","16416","16000","15146","14937","14627",
"Eunpyeong-gu","Apartment[Housing]","Housing","50419","50677","52000","52607","57712","59438","64712",
"Eunpyeong-gu","Row house[Housing]","Housing","6886","6696","6595","6297","5914","5830","5842",
"Eunpyeong-gu","Apartment unit ina private house[Housing]","Housing","63059","65756","67371","68390","68514","69210","70307",
"Eunpyeong-gu","House within commercial building[Housing]","Housing","1384","1328","1345","1317","1271","1243","1222",
"Eunpyeong-gu","Living quaters other than housing unit[Housing]","Housing","6021","6075","7377","8225","9057","9905","10377",
"Seodaemun-gu","Total population[Person]","Person","308768","320258","321345","318874","319394","317209","314547",
"Seodaemun-gu","Male[Person]","Person","147956","151756","151132","149438","149113","148696","146558",
"Seodaemun-gu","Female[Person]","Person","160812","168502","170213","169436","170281","168513","167989",
"Seodaemun-gu","Korean - total[Person]","Person","297761","308419","308193","304508","303075","302902","299912",
"Seodaemun-gu","Korean - male[Person]","Person","143596","147301","146320","144208","143082","143329","141184",
"Seodaemun-gu","Korean - Female[Person]","Person","154165","161118","161873","160300","159993","159573","158728",
"Seodaemun-gu","Foreigner-Total[Person]","Person","11007","11839","13152","14366","16319","14307","14635",
"Seodaemun-gu","Foreigner-Male[Person]","Person","4360","4455","4812","5230","6031","5367","5374",
"Seodaemun-gu","Foreigner-Female[Person]","Person","6647","7384","8340","9136","10288","8940","9261",
"Seodaemun-gu","Household-Total[households]","households","125149","130954","131721","132305","134437","138528","140409",
"Seodaemun-gu","Type of occupancy[households]","households","121034","126581","126672","127197","128635","133112","134544",
"Seodaemun-gu","Institutional households[households]","households","104","94","105","111","105","99","113",
"Seodaemun-gu","Foreigner household[households]","households","4011","4279","4944","4997","5697","5317","5752",
"Seodaemun-gu","Housing units-Total[Housing]","Housing","92885","92788","94398","94884","97616","101036","102024",
"Seodaemun-gu","Detached dwelling[Housing]","Housing","15568","14981","13939","13378","12958","12600","12356",
"Seodaemun-gu","Apartment[Housing]","Housing","45340","44866","47445","48277","50747","54132","55231",
"Seodaemun-gu","Row house[Housing]","Housing","5762","5727","5630","5486","5477","5461","5440",
"Seodaemun-gu","Apartment unit ina private house[Housing]","Housing","25250","26294","26418","26783","27489","27910","28094",
"Seodaemun-gu","House within commercial building[Housing]","Housing","965","920","966","960","945","933","903",
"Seodaemun-gu","Living quaters other than housing unit[Housing]","Housing","4240","4288","4980","5196","5464","6083","7035",
"Mapo-gu","Total population[Person]","Person","381330","375142","368841","368181","369327","365612","365192",
"Mapo-gu","Male[Person]","Person","182657","179193","175326","174194","173893","171161","170867",
"Mapo-gu","Female[Person]","Person","198673","195949","193515","193987","195434","194451","194325",
"Mapo-gu","Korean - total[Person]","Person","369875","363741","356881","355405","355020","352890","352832",
"Mapo-gu","Korean - male[Person]","Person","177608","174215","170311","168819","167814","165953","165874",
"Mapo-gu","Korean - Female[Person]","Person","192267","189526","186570","186586","187206","186937","186958",
"Mapo-gu","Foreigner-Total[Person]","Person","11455","11401","11960","12776","14307","12722","12360",
"Mapo-gu","Foreigner-Male[Person]","Person","5049","4978","5015","5375","6079","5208","4993",
"Mapo-gu","Foreigner-Female[Person]","Person","6406","6423","6945","7401","8228","7514","7367",
"Mapo-gu","Household-Total[households]","households","159636","158474","157877","159850","162161","166007","169539",
"Mapo-gu","Type of occupancy[households]","households","154981","153610","152814","154940","156885","160681","164080",
"Mapo-gu","Institutional households[households]","households","100","74","81","106","102","100","98",
"Mapo-gu","Foreigner household[households]","households","4555","4790","4982","4804","5174","5226","5361",
"Mapo-gu","Housing units-Total[Housing]","Housing","116135","118456","118355","118619","119298","122311","126005",
"Mapo-gu","Detached dwelling[Housing]","Housing","14302","13685","12607","12225","11854","11618","11171",
"Mapo-gu","Apartment[Housing]","Housing","63071","65418","66349","66582","68111","70307","73836",
"Mapo-gu","Row house[Housing]","Housing","3683","3604","3464","3227","3165","3142","3127",
"Mapo-gu","Apartment unit ina private house[Housing]","Housing","33508","34232","34356","35003","34577","35643","36364",
"Mapo-gu","House within commercial building[Housing]","Housing","1571","1517","1579","1582","1591","1601","1507",
"Mapo-gu","Living quaters other than housing unit[Housing]","Housing","9847","10493","11637","13712","14612","15829","16297",
"Yangcheon-gu","Total population[Person]","Person","465512","460267","452111","445591","440354","439068","433373",
"Yangcheon-gu","Male[Person]","Person","229878","226927","222503","218975","216078","214978","211970",
"Yangcheon-gu","Female[Person]","Person","235634","233340","229608","226616","224276","224090","221403",
"Yangcheon-gu","Korean - total[Person]","Person","459665","454621","446643","439910","434133","433221","428082",
"Yangcheon-gu","Korean - male[Person]","Person","227166","224290","220035","216381","213211","212412","209715",
"Yangcheon-gu","Korean - Female[Person]","Person","232499","230331","226608","223529","220922","220809","218367",
"Yangcheon-gu","Foreigner-Total[Person]","Person","5847","5646","5468","5681","6221","5847","5291",
"Yangcheon-gu","Foreigner-Male[Person]","Person","2712","2637","2468","2594","2867","2566","2255",
"Yangcheon-gu","Foreigner-Female[Person]","Person","3135","3009","3000","3087","3354","3281","3036",
"Yangcheon-gu","Household-Total[households]","households","166139","165412","164193","164048","165106","168184","170289",
"Yangcheon-gu","Type of occupancy[households]","households","163823","163253","162045","162039","162867","166044","168355",
"Yangcheon-gu","Institutional households[households]","households","64","40","45","51","45","44","50",
"Yangcheon-gu","Foreigner household[households]","households","2252","2119","2103","1958","2194","2096","1884",
"Yangcheon-gu","Housing units-Total[Housing]","Housing","134097","137651","137056","137850","139938","143769","145843",
"Yangcheon-gu","Detached dwelling[Housing]","Housing","9907","9547","8370","7990","7818","7698","7597",
"Yangcheon-gu","Apartment[Housing]","Housing","83827","85474","85758","85921","87387","90788","92278",
"Yangcheon-gu","Row house[Housing]","Housing","4459","4531","4265","4225","4144","4042","3954",
"Yangcheon-gu","Apartment unit ina private house[Housing]","Housing","34948","37225","37784","38855","39730","40382","41185",
"Yangcheon-gu","House within commercial building[Housing]","Housing","956","874","879","859","859","859","829",
