"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Dongdaemun-gu","Apartment unit ina private house[Housing]","Housing","12529","13770","14866","16093","16834","16511","16569",
"Dongdaemun-gu","House within commercial building[Housing]","Housing","1601","1608","1659","1658","1636","1582","1531",
"Dongdaemun-gu","Living quaters other than housing unit[Housing]","Housing","6802","7575","8293","8192","8791","11084","12907",
"Jungnang-gu","Total population[Person]","Person","403237","399317","396892","391668","386331","385663","380307",
"Jungnang-gu","Male[Person]","Person","199936","197875","196346","193599","190531","189537","186364",
"Jungnang-gu","Female[Person]","Person","203301","201442","200546","198069","195800","196126","193943",
"Jungnang-gu","Korean - total[Person]","Person","397487","393547","390879","385082","379240","378258","373443",
"Jungnang-gu","Korean - male[Person]","Person","197499","195451","193871","190871","187569","186593","183625",
"Jungnang-gu","Korean - Female[Person]","Person","199988","198096","197008","194211","191671","191665","189818",
"Jungnang-gu","Foreigner-Total[Person]","Person","5750","5770","6013","6586","7091","7405","6864",
"Jungnang-gu","Foreigner-Male[Person]","Person","2437","2424","2475","2728","2962","2944","2739",
"Jungnang-gu","Foreigner-Female[Person]","Person","3313","3346","3538","3858","4129","4461","4125",
"Jungnang-gu","Household-Total[households]","households","160043","159920","161432","162039","163422","167617","170021",
"Jungnang-gu","Type of occupancy[households]","households","157537","157571","159035","159444","160776","164832","167260",
"Jungnang-gu","Institutional households[households]","households","68","43","62","59","54","49","67",
"Jungnang-gu","Foreigner household[households]","households","2438","2306","2335","2536","2592","2736","2694",
"Jungnang-gu","Housing units-Total[Housing]","Housing","99265","102387","103740","105691","107997","112364","114488",
"Jungnang-gu","Detached dwelling[Housing]","Housing","21155","20430","19669","19208","18891","18560","17995",
"Jungnang-gu","Apartment[Housing]","Housing","50078","50343","51031","51475","52162","55499","56651",
"Jungnang-gu","Row house[Housing]","Housing","4943","4850","4578","4451","4440","4466","4423",
"Jungnang-gu","Apartment unit ina private house[Housing]","Housing","21543","25272","26949","29040","30958","32303","33916",
"Jungnang-gu","House within commercial building[Housing]","Housing","1546","1492","1513","1517","1546","1536","1503",
"Jungnang-gu","Living quaters other than housing unit[Housing]","Housing","2564","2888","3327","3513","3882","4471","4787",
"Seongbuk-gu","Total population[Person]","Person","456844","451800","445417","438734","445327","438833","435509",
"Seongbuk-gu","Male[Person]","Person","221861","218606","215068","211204","213832","209682","207428",
"Seongbuk-gu","Female[Person]","Person","234983","233194","230349","227530","231495","229151","228081",
"Seongbuk-gu","Korean - total[Person]","Person","445710","439623","432226","424211","429775","425295","422428",
"Seongbuk-gu","Korean - male[Person]","Person","216872","213250","209374","205031","207211","204207","202349",
"Seongbuk-gu","Korean - Female[Person]","Person","228838","226373","222852","219180","222564","221088","220079",
"Seongbuk-gu","Foreigner-Total[Person]","Person","11134","12177","13191","14523","15552","13538","13081",
"Seongbuk-gu","Foreigner-Male[Person]","Person","4989","5356","5694","6173","6621","5475","5079",
"Seongbuk-gu","Foreigner-Female[Person]","Person","6145","6821","7497","8350","8931","8063","8002",
"Seongbuk-gu","Household-Total[households]","households","178717","179278","178276","177489","182594","184871","187246",
"Seongbuk-gu","Type of occupancy[households]","households","174257","174370","172973","171943","176729","179660","181827",
"Seongbuk-gu","Institutional households[households]","households","168","153","183","183","162","192","224",
"Seongbuk-gu","Foreigner household[households]","households","4292","4755","5120","5363","5703","5019","5195",
"Seongbuk-gu","Housing units-Total[Housing]","Housing","128046","128502","130766","129994","136437","138621","140138",
"Seongbuk-gu","Detached dwelling[Housing]","Housing","27180","25928","25457","24207","23156","22520","21661",
"Seongbuk-gu","Apartment[Housing]","Housing","69725","69981","71571","71754","77457","79206","80967",
"Seongbuk-gu","Row house[Housing]","Housing","6518","6376","6321","6097","6044","6262","6230",
