"By administrative divisions","By age ","Item","UNIT","1960 Year","1966 Year","1970 Year","1975 Year","1980 Year","1985 Year","1990 Year","1995 Year","2000 Year","2005 Year","2010 Year",
"Eup area","65-69 Years old","Female[Person]","Person","19981","","22124","33409","45119","55555","55054","64891","81889","96867","95056",
"Eup area","65-69 Years old","Sex ratio","","74.82","","70.69","74.8","76.04","77.31","74.04","67.42","74.03","77","79.5",
"Eup area","70-74 Years old","Population[Person]","Person","25798","","27820","34866","54330","68350","64032","81791","97687","134843","164198",
"Eup area","70-74 Years old","Male[Person]","Person","10468","","10450","13429","21336","26844","26345","32358","36980","55059","68767",
"Eup area","70-74 Years old","Female[Person]","Person","15330","","17370","21437","32994","41506","37687","49433","60707","79784","95431",
"Eup area","70-74 Years old","Sex ratio","","68.28","","60.16","62.64","64.67","64.67","69.9","65.46","60.92","69.01","72.1",
"Eup area","75-79 Years old","Population[Person]","Person","11883","","15472","21994","29445","43097","41193","49170","65124","83468","119415",
"Eup area","75-79 Years old","Male[Person]","Person","4548","","5319","7479","9898","14593","14567","18276","23349","29448","44840",
"Eup area","75-79 Years old","Female[Person]","Person","7335","","10153","14515","19547","28504","26626","30894","41775","54020","74575",
"Eup area","75-79 Years old","Sex ratio","","62","","52.39","51.53","50.64","51.2","54.71","59.16","55.89","54.51","60.1",
"Eup area","80-84 Years old","Population[Person]","Person","6006","","7373","9744","15292","19312","21711","26608","32878","47317","65185",
"Eup area","80-84 Years old","Male[Person]","Person","2127","","2282","2868","4157","5185","6390","8047","10487","15403","20293",
"Eup area","80-84 Years old","Female[Person]","Person","3879","","5091","6876","11135","14127","15321","18561","22391","31914","44892",
"Eup area","80-84 Years old","Sex ratio","","54.83","","44.82","41.71","37.33","36.7","41.71","43.35","46.84","48.26","45.2",
"Eup area","85 Years old & over","Population[Person]","Person","2101","","2536","4611","7056","11177","11248","14906","19275","25645","40277",
"Eup area","85 Years old & over","Male[Person]","Person","654","","715","1152","1511","2311","2241","3282","4412","6587","10468",
"Eup area","85 Years old & over","Female[Person]","Person","1447","","1821","3459","5545","8866","9007","11624","14863","19058","29809",
"Eup area","85 Years old & over","Sex ratio","","45.2","","39.26","33.3","27.25","26.07","24.88","28.23","29.68","34.56","35.1",
"Eup area","Age unknown","Population[Person]","Person","1424","","","","1","1","8","30","276","0","",
"Eup area","Age unknown","Male[Person]","Person","695","","","","","1","4","20","137","0","",
"Eup area","Age unknown","Female[Person]","Person","729","","","","1","","4","10","139","0","",
"Eup area","Age unknown","Sex ratio","","95.34","","","","","100","100","200","98.56","0","",
"Eup area","14 and under","Population[Person]","Person","","","","","","","","810577","835578","831903","765410",
"Eup area","14 and under","Male[Person]","Person","","","","","","","","420560","438794","434403","396768",
"Eup area","14 and under","Female[Person]","Person","","","","","","","","390017","396784","397500","368642",
"Eup area","14 and under","Sex ratio","","","","","","","","","107.83","110.59","109.28","107.6",
"Eup area","15 - 64 Years old","Population[Person]","Person","","","","","","","","2389063","2548722","2627967","2824149",
"Eup area","15 - 64 Years old","Male[Person]","Person","","","","","","","","1213773","1302092","1356639","1469402",
"Eup area","15 - 64 Years old","Female[Person]","Person","","","","","","","","1175290","1246630","1271328","1354747",
"Eup area","15 - 64 Years old","Sex ratio","","","","","","","","","103.27","104.45","106.71","108.5",
"Eup area","65 Years old","Population[Person]","Person","","","","","","","","281114","357477","462727","559656",
"Eup area","65 Years old","Male[Person]","Person","","","","","","","","105711","135852","181084","219893",
"Eup area","65 Years old","Female[Person]","Person","","","","","","","","175403","221625","281643","339763",
"Eup area","65 Years old","Sex ratio","","","","","","","","","60.27","61.3","64.3","64.7",
"Eup area","Mean age","Population[Person]","Person","","","","","","","","","34","36.27","38.4",
"Eup area","Mean age","Male[Person]","Person","","","","","","","","","32.5","34.78","36.9",
"Eup area","Mean age","Female[Person]","Person","","","","","","","","","35.5","37.78","40",
"Eup area","Mean age","Sex ratio","","","","","","","","","","","0","",
"Eup area","Median age","Population[Person]","Person","","","","","","","","","32.8","35.75","38.4",
"Eup area","Median age","Male[Person]","Person","","","","","","","","","31.8","34.78","37.3",
"Eup area","Median age","Female[Person]","Person","","","","","","","","","33.8","36.81","39.6",
"Eup area","Median age","Sex ratio","","","","","","","","","","","0","",
"Myeon area","Total","Population[Person]","Person","15733782","","15653957","14185121","11460536","9187273","7497857","6080962","5600788","4781138","4478173",
"Myeon area","Total","Male[Person]","Person","7918809","","7861135","7197154","5775127","4653725","3777752","3021565","2773484","2347612","2195964",
"Myeon area","Total","Female[Person]","Person","7814973","","7792822","6987967","5685409","4533548","3720105","3059397","2827304","2433526","2282209",
"Myeon area","Total","Sex ratio","","101.33","","100.88","102.99","101.58","102.65","101.55","98.76","98.1","96.47","96.2",
"Myeon area","0-4 Years old","Population[Person]","Person","2313396","","2260763","1686416","1040599","698422","379208","319845","288526","175393","148288",
"Myeon area","0-4 Years old","Male[Person]","Person","1185863","","1166016","873330","537526","360179","198991","170400","151409","91352","76071",
"Myeon area","0-4 Years old","Female[Person]","Person","1127533","","1094747","813086","503073","338243","180217","149445","137117","84041","72217",
"Myeon area","0-4 Years old","Sex ratio","","105.17","","106.51","107.41","106.85","106.49","110.42","114.02","110.42","108.7","105.3",
"Myeon area","5-9 Years old","Population[Person]","Person","2385467","","2533968","2025461","1443036","889273","579733","333123","314411","237991","159033",
"Myeon area","5-9 Years old","Male[Person]","Person","1238831","","1311397","1041892","738677","452954","295433","172391","166395","124204","83010",
"Myeon area","5-9 Years old","Female[Person]","Person","1146636","","1222571","983569","704359","436319","284300","160732","148016","113787","76023",
"Myeon area","5-9 Years old","Sex ratio","","108.04","","107.27","105.93","104.87","103.81","103.92","107.25","112.42","109.15","109.2",
"Myeon area","10-14 Years old","Population[Person]","Person","1781376","","2305829","2118750","1630029","1172438","731274","465360","303136","250127","213761",
"Myeon area","10-14 Years old","Male[Person]","Person","940064","","1197217","1097786","829446","591876","365984","233775","157041","131990","111595",
"Myeon area","10-14 Years old","Female[Person]","Person","841312","","1108612","1020964","800583","580562","365290","231585","146095","118137","102166",
"Myeon area","10-14 Years old","Sex ratio","","111.74","","107.99","107.52","103.61","101.95","100.19","100.95","107.49","111.73","109.2",
"Myeon area","15-19 Years old","Population[Person]","Person","1389712","","1232016","1417264","1130740","880994","760957","478101","372524","238105","232342",
"Myeon area","15-19 Years old","Male[Person]","Person","735364","","642198","758938","607399","478548","393758","246234","194807","125369","125983",
"Myeon area","15-19 Years old","Female[Person]","Person","654348","","589818","658326","523341","402446","367199","231867","177717","112736","106359",
"Myeon area","15-19 Years old","Sex ratio","","112.38","","108.88","115.28","116.06","118.91","107.23","106.2","109.62","111.21","118.5",
"Myeon area","20-24 Years old","Population[Person]","Person","1409320","","1014081","1070262","998601","819084","701277","496456","382427","275382","202285",
"Myeon area","20-24 Years old","Male[Person]","Person","738937","","564970","623413","601716","536228","457528","314902","236363","168390","121179",
"Myeon area","20-24 Years old","Female[Person]","Person","670383","","449111","446849","396885","282856","243749","181554","146064","106992","81106",
"Myeon area","20-24 Years old","Sex ratio","","110.23","","125.8","139.51","151.61","189.58","187.7","173.45","161.82","157.39","149.4",
"Myeon area","25-29 Years old","Population[Person]","Person","1178005","","869111","764969","637245","628994","502190","378344","349387","241655","208385",
"Myeon area","25-29 Years old","Male[Person]","Person","580978","","433618","413123","330951","334204","277140","210529","197956","139296","121992",
"Myeon area","25-29 Years old","Female[Person]","Person","597027","","435493","351846","306294","294790","225050","167815","151431","102359","86393",
"Myeon area","25-29 Years old","Sex ratio","","97.31","","99.57","117.42","108.05","113.37","123.15","125.45","130.72","136.09","141.2",
"Myeon area","30-34 Years old","Population[Person]","Person","913969","","962125","728701","546963","493773","477890","393126","347786","266519","214308",
"Myeon area","30-34 Years old","Male[Person]","Person","430513","","470496","359441","279417","251863","249709","207521","187960","147647","118725",
"Myeon area","30-34 Years old","Female[Person]","Person","483456","","491629","369260","267546","241910","228181","185605","159826","118872","95583",
"Myeon area","30-34 Years old","Sex ratio","","89.05","","95.7","97.34","104.44","104.11","109.43","111.81","117.6","124.21","124.2",
"Myeon area","35-39 Years old","Population[Person]","Person","835619","","887024","833741","577290","449817","403250","406111","375772","282206","247665",
"Myeon area","35-39 Years old","Male[Person]","Person","399768","","424688","410101","277243","231282","207118","213247","200351","152934","137466",
"Myeon area","35-39 Years old","Female[Person]","Person","435851","","462336","423640","300047","218535","196132","192864","175421","129272","110199",
"Myeon area","35-39 Years old","Sex ratio","","91.72","","91.86","96.8","92.4","105.83","105.6","110.57","114.21","118.3","124.7",
"Myeon area","40-44 Years old","Population[Person]","Person","724670","","728217","763551","685741","470097","374089","339188","381906","314643","271097",
"Myeon area","40-44 Years old","Male[Person]","Person","353176","","333273","364561","332022","224429","190470","172660","200395","167634","148264",
"Myeon area","40-44 Years old","Female[Person]","Person","371494","","394944","398990","353719","245668","183619","166528","181511","147009","122833",
"Myeon area","40-44 Years old","Sex ratio","","95.07","","84.38","91.37","93.87","91.35","103.73","103.68","110.4","114.03","120.7",
"Myeon area","45-49 Years old","Population[Person]","Person","663327","","678108","627336","664139","575837","422104","335794","333015","354411","318496",
"Myeon area","45-49 Years old","Male[Person]","Person","324922","","323032","284054","311728","272553","197140","166627","165767","181028","167735",
"Myeon area","45-49 Years old","Female[Person]","Person","338405","","355076","343282","352411","303284","224964","169167","167248","173383","150761",
"Myeon area","45-49 Years old","Sex ratio","","96.02","","90.98","82.75","88.46","89.87","87.63","98.5","99.11","104.41","111.3",
"Myeon area","50-54 Years old","Population[Person]","Person","583945","","580850","573417","532629","559191","518159","380381","328632","322106","366574",
"Myeon area","50-54 Years old","Male[Person]","Person","286885","","282777","272554","239975","257108","241846","173700","160666","158149","184922",
"Myeon area","50-54 Years old","Female[Person]","Person","297060","","298073","300863","292654","302083","276313","206681","167966","163957","181652",
"Myeon area","50-54 Years old","Sex ratio","","96.57","","94.87","90.59","82","85.11","87.53","84.04","95.65","96.46","101.8",
"Myeon area","55-59 Years old","Population[Person]","Person","460972","","508591","484271","483582","451412","497400","470989","367518","319327","330991",
